@,dirka,mal,2024
1,25,F. Bagnaia,DUCATI LENOVO TEAM,2284.563
2,20,J. Martin,PRIMA PRAMAC RACING,2287.704
3,16,E. Bastianini,DUCATI LENOVO TEAM,2295.047
4,13,A. Marquez,GRESINI RACING MOTOGP,2296.793
5,11,P. Acosta,RED BULL GASGAS TECH3,2298.262
6,10,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2300.808
7,9,M. Vinales,APRILIA RACING,2304.010
8,8,A. Rins,MONSTER ENERGY YAMAHA MOTOGP TEAM,2305.174
9,7,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2306.557
10,6,A. Fernandez,RED BULL GASGAS TECH3,2306.737
11,5,J. Zarco,CASTROL HONDA LCR,2310.188
12,4,M. Marquez,GRESINI RACING MOTOGP,2311.839
13,3,A. Espargaro,APRILIA RACING,2312.167
14,2,F. Morbidelli,PRIMA PRAMAC RACING,2312.512
15,1,L. Marini,REPSOL HONDA TEAM,2313.401
16,0,R. Fernandez,TRACKHOUSE RACING,2323.410
17,0,A. Iannone,PERTAMINA ENDURO VR46 RACING TEAM,2332.162
18,0,L. Savadori,TRACKHOUSE RACING,2333.519
@,dirka,tha,2024
1,25,F. Bagnaia,DUCATI LENOVO TEAM,2618.108
2,20,J. Martin,PRIMA PRAMAC RACING,2621.013
3,16,P. Acosta,RED BULL GASGAS TECH3,2621.908
4,13,F. Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2622.744
5,11,J. Miller,RED BULL KTM FACTORY RACING,2623.640
6,10,B. Binder,RED BULL KTM FACTORY RACING,2624.006
7,9,M. Vinales,APRILIA RACING,2626.606
8,8,J. Zarco,CASTROL HONDA LCR,2635.780
9,7,A. Espargaro,APRILIA RACING,2636.696
10,6,A. Marquez,GRESINI RACING MOTOGP,2639.271
11,5,M. Marquez,GRESINI RACING MOTOGP,2640.359
12,4,L. Marini,REPSOL HONDA TEAM,2640.967
13,3,T. Nakagami,IDEMITSU HONDA LCR,2642.639
14,2,E. Bastianini,DUCATI LENOVO TEAM,2645.198
15,1,J. Mir,REPSOL HONDA TEAM,2648.978
16,0,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2668.129
@,dirka,aus,2024
1,25,M. Marquez,GRESINI RACING MOTOGP,2387.702
2,20,J. Martin,PRIMA PRAMAC RACING,2388.699
3,16,F. Bagnaia,DUCATI LENOVO TEAM,2397.802
4,13,F. Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2400.699
5,11,E. Bastianini,DUCATI LENOVO TEAM,2401.012
6,10,F. Morbidelli,PRIMA PRAMAC RACING,2403.136
7,9,B. Binder,RED BULL KTM FACTORY RACING,2403.152
8,8,M. Vinales,APRILIA RACING,2404.338
9,7,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2406.459
10,6,R. Fernandez,TRACKHOUSE RACING,2407.047
11,5,J. Miller,RED BULL KTM FACTORY RACING,2407.634
12,4,J. Zarco,CASTROL HONDA LCR,2407.997
13,3,A. Rins,MONSTER ENERGY YAMAHA MOTOGP TEAM,2409.912
14,2,L. Marini,REPSOL HONDA TEAM,2411.941
15,1,A. Marquez,GRESINI RACING MOTOGP,2412.293
16,0,A. Espargaro,APRILIA RACING,2418.201
17,0,A. Fernandez,RED BULL GASGAS TECH3,2418.235
18,0,T. Nakagami,IDEMITSU HONDA LCR,2418.467
19,0,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2433.095
@,dirka,jpn,2024
1,25,F. Bagnaia,DUCATI LENOVO TEAM,2529.790
2,20,J. Martin,PRIMA PRAMAC RACING,2530.979
3,16,M. Marquez,GRESINI RACING MOTOGP,2533.612
4,13,E. Bastianini,DUCATI LENOVO TEAM,2534.148
5,11,F. Morbidelli,PRIMA PRAMAC RACING,2547.730
6,10,B. Binder,RED BULL KTM FACTORY RACING,2548.292
7,9,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2549.161
8,8,F. Giannantonio,PERTAMINA ENDURO VR46 RACING TEAM,2549.989
9,7,A. Espargaro,APRILIA RACING,2560.232
10,6,J. Miller,RED BULL KTM FACTORY RACING,2560.974
11,5,J. Zarco,CASTROL HONDA LCR,2561.357
12,4,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2562.089
13,3,T. Nakagami,IDEMITSU HONDA LCR,2562.793
14,2,L. Marini,REPSOL HONDA TEAM,2565.764
15,1,R. Fernandez,TRACKHOUSE RACING,2569.111
16,0,A. Rins,MONSTER ENERGY YAMAHA MOTOGP TEAM,2570.629
17,0,R. Gardner,YAMAHA FACTORY RACING TEAM,2589.337
@,dirka,ina,2024
1,25,J. Martin,PRIMA PRAMAC RACING,2464.389
2,20,P. Acosta,RED BULL GASGAS TECH3,2465.793
3,16,F. Bagnaia,DUCATI LENOVO TEAM,2469.984
4,13,F. Morbidelli,PRIMA PRAMAC RACING,2470.896
5,11,M. Bezzecchi,PERTAMINA ENDURO VR46 RACING TEAM,2471.161
6,10,M. Vinales,APRILIA RACING,2475.719
7,9,F. Quartararo,MONSTER ENERGY YAMAHA MOTOGP TEAM,2477.592
